COL_DTM,INT_NO,INT_STAT,INT_PHASE_NO,LNKD_DTM
20231019140946,131,1,4,2023-10-19 14:09:47
20231019140956,414,1,1,2023-10-19 14:09:57
20231019140956,190,1,3,2023-10-19 14:09:57
20231019140932,575,1,1,2023-10-19 14:09:33
20231019140932,204,1,1,2023-10-19 14:09:33
20231019140932,77,1,1,2023-10-19 14:09:33
20231019140956,215,1,3,2023-10-19 14:09:57
20231019140956,36,1,4,2023-10-19 14:09:57
20231019140932,210,1,2,2023-10-19 14:09:33
20231019140932,56,1,1,2023-10-19 14:09:33
20231019140956,292,1,3,2023-10-19 14:09:57
20231019140932,527,1,1,2023-10-19 14:09:33
20231019140956,509,1,3,2023-10-19 14:09:57
20231019140956,641,1,3,2023-10-19 14:09:57
20231019140932,366,1,4,2023-10-19 14:09:33
20231019140932,147,1,3,2023-10-19 14:09:33
20231019140942,389,1,1,2023-10-19 14:09:43
20231019140956,712,1,2,2023-10-19 14:09:57
20231019140933,644,1,4,2023-10-19 14:09:34
20231019140956,175,1,2,2023-10-19 14:09:57
20231019140956,21,1,2,2023-10-19 14:09:57
20231019140956,582,1,5,2023-10-19 14:09:57
20231019140956,537,1,2,2023-10-19 14:09:57
20231019140956,576,1,2,2023-10-19 14:09:57
20231019140933,185,1,4,2023-10-19 14:09:34
20231019140933,662,1,1,2023-10-19 14:09:34
20231019140933,266,1,2,2023-10-19 14:09:34
20231019140956,711,1,2,2023-10-19 14:09:57
20231019140934,139,1,1,2023-10-19 14:09:35
20231019140934,1,1,1,2023-10-19 14:09:35
20231019140934,386,1,2,2023-10-19 14:09:35
20231019140957,363,1,4,2023-10-19 14:09:58
