INT_NO,INT_PHASE_NO,INT_PLAN_CLSS,INT_RING,INT_FLOW_NO,INT_MIN_SPLIT,INT_MAX_SPLIT,INT_YELLOW,INT_MAIN_PHASE,INT_LANE,INT_PHASE_LAT1,INT_PHASE_LNG1,INT_PHASE_LAT2,INT_PHASE_LNG2,INT_PHASE_LAT3,INT_PHASE_LNG3
243,1,0,0,8,0,0,0,0,0,37.34552,127.10903,37.34584,127.10903,37.34596,127.10903
243,1,0,1,4,0,0,0,0,0,37.34616,127.10878,37.34584,127.10879,37.34572,127.10879
243,2,0,0,7,0,0,0,0,0,37.34616,127.10903,37.34584,127.10903,37.34584,127.10918
243,2,0,1,3,0,0,0,0,0,37.34552,127.10878,37.34584,127.10879,37.34584,127.10864
243,3,0,0,5,0,0,0,0,0,37.34594,127.1085,37.34594,127.10891,37.34606,127.10891
243,3,0,1,2,0,0,0,0,0,37.34574,127.1085,37.34574,127.10891,37.34574,127.10906
243,4,0,1,2,0,0,0,0,0,37.34574,127.1085,37.34574,127.10891,37.34574,127.10906
243,4,0,0,6,0,0,0,0,0,37.34594,127.10932,37.34594,127.10891,37.34594,127.10876
243,5,0,0,6,0,0,0,0,0,37.34594,127.10932,37.34594,127.10891,37.34594,127.10876
243,5,0,1,1,0,0,0,0,0,37.34574,127.10932,37.34574,127.10891,37.34562,127.10891
245,1,0,0,7,0,0,0,0,0,37.34684,127.11621,37.34651,127.1162,37.34651,127.11635
245,1,0,1,4,0,0,0,0,0,37.34684,127.11596,37.34652,127.11595,37.3464,127.11596
245,2,0,0,6,0,0,0,0,0,37.34661,127.11649,37.34661,127.11608,37.3466,127.11593
245,2,0,1,1,0,0,0,0,0,37.34641,127.11649,37.34642,127.11608,37.3463,127.11608
245,3,0,0,8,0,0,0,0,0,37.34619,127.11621,37.34652,127.1162,37.34663,127.1162
245,3,0,1,3,0,0,0,0,0,37.34619,127.11596,37.34651,127.11595,37.3465,127.11581
245,4,0,1,2,0,0,0,0,0,37.34637,127.11569,37.34642,127.1161,37.34642,127.11624
245,4,0,0,5,0,0,0,0,0,37.34657,127.11566,37.34661,127.11606,37.34673,127.11606
246,1,0,0,6,0,0,0,0,0,37.3466,127.11876,37.34661,127.11836,37.34661,127.11821
246,1,0,1,2,0,0,0,0,0,37.34641,127.11795,37.34641,127.11836,37.34641,127.1185
246,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
247,1,0,0,8,0,0,0,0,0,37.34614,127.12012,37.34646,127.1202,37.34657,127.12021
247,1,0,1,4,0,0,0,0,0,37.34681,127.11998,37.34648,127.11996,37.34637,127.11993
247,2,0,0,5,0,0,0,0,0,37.34659,127.11968,37.34658,127.12009,37.34669,127.12009
247,3,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
248,1,0,0,8,0,0,0,0,0,37.34439,127.11622,37.34472,127.11622,37.34483,127.11622
248,1,0,1,4,0,0,0,0,0,37.34504,127.11597,37.34472,127.11598,37.3446,127.11597
248,2,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
248,3,0,0,8,0,0,0,0,0,37.34439,127.11622,37.34472,127.11622,37.34483,127.11622
248,3,0,1,4,0,0,0,0,0,37.34504,127.11597,37.34472,127.11598,37.3446,127.11597
248,4,0,0,17,0,0,0,0,0,19.69448,117.9926,19.69448,117.9926,19.69448,117.9926
249,1,0,0,8,0,0,0,0,0,37.34327,127.10903,37.34359,127.10903,37.34371,127.10903
249,1,0,1,4,0,0,0,0,0,37.34392,127.10878,37.34359,127.10878,37.34347,127.10878
249,2,0,1,4,0,0,0,0,0,37.34392,127.10878,37.34359,127.10878,37.34347,127.10878
249,2,0,0,7,0,0,0,0,0,37.34392,127.10903,37.34359,127.10903,37.34359,127.10918
