COL_DTM,INT_NO,INT_STAT,INT_PHASE_NO,LNKD_DTM
20231000000000,177,1,3,2023-10-18 08:00:00
20231000000000,199,1,1,2023-10-18 08:00:00
20231000000000,259,1,3,2023-10-18 08:00:00
20231000000000,262,1,1,2023-10-18 08:00:00
20231000000000,359,1,1,2023-10-18 08:00:00
20231000000000,371,1,4,2023-10-18 08:00:00
20231000000000,462,1,1,2023-10-18 08:00:00
20231000000000,511,1,1,2023-10-18 08:00:00
20231000000000,516,1,2,2023-10-18 08:00:00
20231000000000,585,1,2,2023-10-18 08:00:00
20231000000000,644,1,4,2023-10-18 08:00:00
20231000000000,693,1,2,2023-10-18 08:00:00
20231000000000,749,1,2,2023-10-18 08:00:00
20231000000000,6,1,1,2023-10-18 08:00:00
20231000000000,32,1,1,2023-10-18 08:00:00
20231000000000,35,1,1,2023-10-18 08:00:00
20231000000000,57,1,5,2023-10-18 08:00:00
20231000000000,68,1,3,2023-10-18 08:00:00
20231000000000,86,1,1,2023-10-18 08:00:00
20231000000000,122,1,1,2023-10-18 08:00:00
20231000000000,203,1,4,2023-10-18 08:00:00
20231000000000,219,1,2,2023-10-18 08:00:00
20231000000000,281,1,2,2023-10-18 08:00:00
20231000000000,293,1,2,2023-10-18 08:00:00
20231000000000,313,1,1,2023-10-18 08:00:00
20231000000000,319,1,3,2023-10-18 08:00:00
20231000000000,360,1,1,2023-10-18 08:00:00
20231000000000,361,1,1,2023-10-18 08:00:00
20231000000000,372,1,2,2023-10-18 08:00:00
20231000000000,378,1,1,2023-10-18 08:00:00
20231000000000,474,1,4,2023-10-18 08:00:00
20231000000000,475,1,2,2023-10-18 08:00:00
20231000000000,532,1,3,2023-10-18 08:00:00
20231000000000,577,1,2,2023-10-18 08:00:00
20231000000000,591,1,2,2023-10-18 08:00:00
20231000000000,609,1,2,2023-10-18 08:00:00
20231000000000,643,1,1,2023-10-18 08:00:00
20231000000000,653,1,4,2023-10-18 08:00:00
20231000000000,692,1,2,2023-10-18 08:00:00
20231000000000,741,1,4,2023-10-18 08:00:00
20231000000000,743,1,3,2023-10-18 08:00:00
20231000000000,235,1,3,2023-10-18 08:00:00
20231000000000,247,1,2,2023-10-18 08:00:00
20231000000000,379,1,1,2023-10-18 08:00:00
20231000000000,508,1,1,2023-10-18 08:00:00
20231000000000,537,1,2,2023-10-18 08:00:00
20231000000000,552,1,1,2023-10-18 08:00:00
20231000000000,649,1,2,2023-10-18 08:00:00
20231000000000,13,1,2,2023-10-18 08:00:00
20231000000000,193,1,3,2023-10-18 08:00:00
20231000000000,266,1,3,2023-10-18 08:00:00
20231000000000,294,1,2,2023-10-18 08:00:00
20231000000000,300,1,4,2023-10-18 08:00:00
20231000000000,355,1,4,2023-10-18 08:00:00
20231000000000,368,1,2,2023-10-18 08:00:00
20231000000000,595,1,1,2023-10-18 08:00:00
20231000000000,38,1,2,2023-10-18 08:00:00
20231000000000,89,1,2,2023-10-18 08:00:00
20231000000000,312,1,1,2023-10-18 08:00:00
20231000000000,358,1,2,2023-10-18 08:00:00
20231000000000,556,1,3,2023-10-18 08:00:00
20231000000000,71,1,1,2023-10-18 08:00:00
20231000000000,72,1,3,2023-10-18 08:00:00
